label,r_mean,g_mean,b_mean,r_std,g_std,b_std,hue_mean,sat_mean,val_mean,dx,dy,gray_mean,gray_std,r_ratio,g_ratio,b_ratio
Healthy,78,155,68,12,18,10,110,180,155,4.2,3.8,112,14,0.26,0.52,0.23
Healthy,82,162,72,11,17,9,112,175,162,3.9,3.5,118,13,0.25,0.53,0.22
Healthy,75,150,65,13,20,11,108,185,150,4.5,4.1,108,15,0.27,0.51,0.22
Healthy,80,158,70,12,16,10,111,178,158,4.0,3.7,115,13,0.26,0.52,0.23
Healthy,85,165,75,10,15,8,113,172,165,3.7,3.3,120,12,0.25,0.53,0.22
Yellow Rust,182,158,62,28,22,14,42,195,182,8.5,7.2,156,24,0.45,0.39,0.15
Yellow Rust,188,162,58,30,24,16,40,200,188,9.0,7.8,160,26,0.46,0.40,0.14
Yellow Rust,175,150,68,25,20,13,44,188,175,7.8,6.8,150,22,0.44,0.38,0.17
Yellow Rust,190,165,55,32,25,15,38,205,190,9.5,8.2,165,28,0.47,0.41,0.14
Yellow Rust,178,155,60,27,21,14,43,192,178,8.2,7.0,153,23,0.45,0.39,0.15
Brown Rust,162,88,52,32,18,15,22,195,162,10.2,9.5,112,28,0.52,0.28,0.17
Brown Rust,168,92,48,35,20,17,20,200,168,11.0,10.2,116,30,0.53,0.29,0.15
Brown Rust,155,82,55,30,16,14,24,188,155,9.5,8.8,106,26,0.52,0.27,0.18
Brown Rust,172,95,50,38,22,16,19,205,172,11.5,10.8,120,32,0.53,0.29,0.15
Brown Rust,158,85,58,31,17,15,23,192,158,9.8,9.0,108,27,0.51,0.27,0.19
Early Blight,148,105,55,35,25,18,32,185,148,12.5,11.2,110,30,0.49,0.35,0.18
Early Blight,152,110,50,38,28,20,30,190,152,13.0,11.8,113,32,0.49,0.36,0.16
Early Blight,142,98,58,32,22,17,34,180,142,11.8,10.5,106,28,0.48,0.33,0.20
Early Blight,155,112,52,40,30,21,29,195,155,13.5,12.0,115,34,0.49,0.36,0.17
Early Blight,145,102,60,33,24,18,33,183,145,12.0,10.8,108,29,0.48,0.34,0.20
Late Blight,68,88,105,22,20,28,205,160,105,15.5,14.2,88,25,0.28,0.37,0.44
Late Blight,72,92,110,25,22,30,208,165,110,16.0,14.8,92,27,0.28,0.36,0.43
Late Blight,65,85,100,20,18,26,202,155,100,14.8,13.5,84,23,0.29,0.38,0.44
Late Blight,75,95,112,28,24,32,210,170,112,16.5,15.2,95,29,0.28,0.36,0.43
Late Blight,70,90,108,23,21,29,206,162,108,15.8,14.5,90,26,0.28,0.37,0.43
